StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q8,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q19_18_TEXT,Q20,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28,Q29,Q30,Q31,Q32,Q33,Q35,Q36
2017-05-24 08:18:41,2017-05-24 08:18:42,Survey Test,,100,1,True,2017-05-24 08:18:42,R_9BIcxOAYJwAAHat,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree strongly,Very negative,Very positive,Very positive,Neither positive nor negative,Very positive,Slightly positive,Negative,Slightly positive,Slightly negative,Very negative,Neither positive nor negative,Very positive,Neither positive nor negative,Negative,Negative,Positive,3,2,5,5,4,Extremely characteristic of me (7),2,4,6,Extremely characteristic of me (7),3,Extremely characteristic of me (7),6,5,Always or definitely yes (9),5,7,3,3,4,Always or definitely yes (9),3,Always or definitely yes (9),5,3,8,7,Always or definitely yes (9),6,36,Female,Some college,Yes,24,Self-employed,Service or labor,,,Don’t know,,,88,49,Divorced,78469,"No, not born in this country",Less than once a week,3 days,Never,On a computer or tablet at home,17,No,,,No,Yes,8
2017-05-24 08:18:42,2017-05-24 08:18:42,Survey Test,,100,0,True,2017-05-24 08:18:42,R_6yE1FyGezL35cTH,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree moderately,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Positive,Very positive,Negative,Negative,Very negative,Very negative,Slightly positive,Very negative,Very positive,Slightly positive,Positive,Neither positive nor negative,Very positive,Neither positive nor negative,Negative,Very positive,6,2,2,6,Extremely characteristic of me (7),3,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),5,4,4,3,Extremely uncharacteristic of me (1),4,5,5,7,8,6,4,2,4,3,Never or definitely no (1),3,5,Always or definitely yes (9),2,26,Prefer not to answer,Post-graduate degree,No,,,,Homemaker (including stay-at-home parents),,No Religion/Atheist/Agnostic,,,6,80,Separated,60182,"No, not born in this country",7 days,1 day,7 days,On a computer or tablet at work,5,No,,,Yes,Yes,10
2017-05-24 08:18:42,2017-05-24 08:18:43,Survey Test,,100,1,True,2017-05-24 08:18:43,R_3faGDw5r4VS0gU5,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Agree a little,Very positive,Slightly negative,Very positive,Negative,Very positive,Neither positive nor negative,Positive,Negative,Negative,Positive,Slightly positive,Neither positive nor negative,Very positive,Neither positive nor negative,Positive,Very negative,6,3,6,4,4,3,2,Extremely characteristic of me (7),6,4,Extremely characteristic of me (7),2,6,6,4,5,4,2,4,7,5,7,5,3,3,6,Never or definitely no (1),6,Always or definitely yes (9),129,Prefer not to answer,Post-graduate degree,No,,,,Retired,,Primal-indigenous/African Traditional and Diasporic/Animist/Nature Worship/Paganism,,Monthly (at least once a month),71,26,Separated,94958,"Yes, born in this country",2 days,6 days,2 days,On a computer or tablet at school,23,No,,,No,No,
2017-05-24 08:18:43,2017-05-24 08:18:43,Survey Test,,100,0,True,2017-05-24 08:18:43,R_5nBiWgBR6YpWPat,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree strongly,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree a little,Disagree strongly,Disagree moderately,Positive,Very positive,Positive,Positive,Negative,Positive,Neither positive nor negative,Negative,Neither positive nor negative,Slightly negative,Neither positive nor negative,Slightly negative,Positive,Neither positive nor negative,Negative,Slightly positive,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),5,5,6,2,4,5,2,Extremely uncharacteristic of me (1),6,4,6,3,6,Never or definitely no (1),4,5,6,6,2,Never or definitely no (1),5,5,Always or definitely yes (9),6,Always or definitely yes (9),109,Prefer not to answer,Elementary school,Yes,8,Self-employed,Professional,,,Roman Catholic,,Annually (at least once a year),67,74,Divorced,77832,"No, not born in this country",Never,Less than once a week,7 days,On a computer or tablet at work,4,Yes,21757,24,No,No,
2017-05-24 08:18:43,2017-05-24 08:18:44,Survey Test,,100,1,True,2017-05-24 08:18:44,R_b2YJfIPldBP3gtn,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree moderately,Disagree a little,Disagree moderately,Disagree moderately,Very negative,Negative,Positive,Neither positive nor negative,Very positive,Very positive,Slightly positive,Negative,Slightly positive,Negative,Slightly positive,Slightly positive,Slightly positive,Negative,Negative,Very negative,Extremely characteristic of me (7),3,6,6,3,3,Extremely characteristic of me (7),5,4,6,5,Extremely characteristic of me (7),2,2,2,5,5,2,4,Never or definitely no (1),4,7,5,3,3,3,6,Always or definitely yes (9),2,83,Male,Some college,No,,,,Retired,,Buddhism,,Monthly (at least once a month),94,56,Single/Never been married,54313,"No, not born in this country",6 days,1 day,7 days,On a computer or tablet at home,8,Yes,51243,14,No,No,
2017-05-24 08:18:44,2017-05-24 08:18:44,Survey Test,,100,0,True,2017-05-24 08:18:44,R_eyBG96n4rs1ZBDD,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree a little,Agree moderately,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Negative,Slightly positive,Slightly negative,Neither positive nor negative,Very negative,Positive,Negative,Slightly negative,Slightly positive,Neither positive nor negative,Neither positive nor negative,Slightly positive,Slightly positive,Very negative,Positive,Positive,3,6,6,Extremely characteristic of me (7),6,6,2,Extremely uncharacteristic of me (1),6,3,5,2,3,6,7,4,6,3,8,6,6,2,Always or definitely yes (9),4,6,6,7,7,4,64,Prefer not to answer,College degree,Yes,12,Work for an employer,Other,,,Other Christian Religion,,Weekly (at least once a week),67,24,Separated,19034,"Yes, born in this country",5 days,3 days,2 days,On a mobile device,13,Yes,92357,20,No,Yes,11
2017-05-24 08:18:44,2017-05-24 08:18:45,Survey Test,,100,1,True,2017-05-24 08:18:45,R_8uzMVp6l1ejBfq5,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Disagree moderately,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Disagree strongly,Very negative,Neither positive nor negative,Very positive,Very positive,Very negative,Very positive,Negative,Very positive,Very negative,Very positive,Slightly positive,Slightly negative,Neither positive nor negative,Very positive,Very positive,Neither positive nor negative,2,Extremely characteristic of me (7),Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),2,Extremely characteristic of me (7),5,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),2,4,3,3,3,3,7,3,Never or definitely no (1),5,8,8,2,4,4,Never or definitely no (1),5,6,61,Female,Elementary school,Yes,16,Work for an employer,Farmer or rancher,,,Chinese Traditional Religion/Confucianism,,Annually (at least once a year),48,46,Single/Never been married,70679,"Yes, born in this country",6 days,5 days,Never,On a computer or tablet at home,2,No,,,Yes,No,
2017-05-24 08:18:45,2017-05-24 08:18:45,Survey Test,,100,0,True,2017-05-24 08:18:45,R_aaBAoSFVs0ETwjP,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree strongly,Disagree moderately,Disagree strongly,Disagree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree moderately,Disagree a little,Positive,Very negative,Negative,Very positive,Positive,Slightly negative,Very positive,Slightly negative,Positive,Neither positive nor negative,Very positive,Slightly negative,Neither positive nor negative,Positive,Neither positive nor negative,Slightly negative,Extremely characteristic of me (7),3,5,2,6,2,Extremely uncharacteristic of me (1),6,Extremely uncharacteristic of me (1),3,5,Extremely characteristic of me (7),3,2,Never or definitely no (1),7,Never or definitely no (1),5,Never or definitely no (1),4,6,6,4,6,3,Always or definitely yes (9),8,4,6,27,Other,Elementary school,No,,,,Retired,,Islam/Muslim (Sunni),,Weekly (at least once a week),40,77,Divorced,48435,"No, not born in this country",Never,Less than once a week,2 days,On a computer or tablet at school,0,No,,,No,Yes,11
2017-05-24 08:18:46,2017-05-24 08:18:46,Survey Test,,100,0,True,2017-05-24 08:18:46,R_0BWkfd4N15JXDVj,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Agree moderately,Agree a little,Very negative,Slightly negative,Positive,Negative,Neither positive nor negative,Very positive,Very negative,Very positive,Slightly positive,Slightly negative,Slightly negative,Very positive,Very positive,Neither positive nor negative,Slightly negative,Slightly negative,5,5,4,6,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),6,Extremely characteristic of me (7),6,6,Extremely uncharacteristic of me (1),4,Extremely uncharacteristic of me (1),2,Never or definitely no (1),2,4,5,7,3,5,2,8,Never or definitely no (1),6,8,2,6,4,5,Female,Elementary school,Yes,21,Self-employed,Farmer or rancher,,,Sikhism,,Annually (at least once a year),37,36,Widowed,72277,"No, not born in this country",7 days,6 days,2 days,On a mobile device,5,No,,,No,Yes,9
2017-05-24 08:18:46,2017-05-24 08:18:46,Survey Test,,100,0,True,2017-05-24 08:18:47,R_54KM7BGRM9kED2t,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree strongly,Agree moderately,Agree moderately,Agree strongly,Agree a little,Disagree strongly,Disagree moderately,Neither agree nor disagree,Disagree a little,Slightly positive,Slightly negative,Negative,Negative,Positive,Neither positive nor negative,Slightly negative,Very positive,Slightly positive,Very negative,Positive,Very positive,Slightly negative,Very negative,Very positive,Slightly positive,Extremely uncharacteristic of me (1),3,6,Extremely uncharacteristic of me (1),2,Extremely characteristic of me (7),6,3,2,6,6,6,Extremely uncharacteristic of me (1),6,Always or definitely yes (9),8,4,3,2,Always or definitely yes (9),8,3,4,3,6,Always or definitely yes (9),6,Always or definitely yes (9),Never or definitely no (1),95,Female,None,Yes,17,Self-employed,Managerial,,,Don’t know,,,80,95,"Domestic partnership/Living with partner ",99655,"Yes, born in this country",3 days,4 days,Never,On a computer or tablet at work,7,Yes,50332,14,Yes,No,
2017-05-24 08:18:47,2017-05-24 08:18:47,Survey Test,,100,0,True,2017-05-24 08:18:47,R_da3rbaNd4yIjNyJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree strongly,Disagree strongly,Neither agree nor disagree,Disagree a little,Disagree strongly,Negative,Slightly negative,Slightly positive,Slightly positive,Very positive,Very positive,Slightly positive,Slightly negative,Neither positive nor negative,Slightly negative,Slightly negative,Slightly negative,Slightly negative,Negative,Slightly negative,Neither positive nor negative,3,5,5,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,2,5,3,Extremely characteristic of me (7),3,6,Extremely characteristic of me (7),Never or definitely no (1),3,7,7,2,5,6,Never or definitely no (1),Never or definitely no (1),3,4,7,2,7,4,40,Female,Post-graduate degree,No,,,,"Other, please list","Morbi eu in maecenas elementum amet fusce, orci! Mi tincidunt luctus? Praesent.",Spiritism,,Do not regularly attend religious services,94,54,Single/Never been married,19959,"Yes, born in this country",Never,4 days,1 day,On a mobile device,18,Yes,73606,23,No,No,
2017-05-24 08:18:47,2017-05-24 08:18:47,Survey Test,,100,0,True,2017-05-24 08:18:48,R_9KvaXysLdCr6oMl,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree moderately,Disagree a little,Disagree a little,Agree moderately,Negative,Positive,Very positive,Very positive,Positive,Very positive,Neither positive nor negative,Very negative,Slightly negative,Positive,Very positive,Very negative,Slightly positive,Slightly positive,Neither positive nor negative,Slightly negative,5,3,6,6,6,Extremely characteristic of me (7),5,4,4,4,Extremely characteristic of me (7),6,6,Extremely characteristic of me (7),Always or definitely yes (9),7,6,Always or definitely yes (9),8,3,8,5,2,8,3,Always or definitely yes (9),6,6,4,60,Prefer not to answer,College degree,Yes,11,Work for an employer,Other,,,Other (Write in:),"Platea curabitur justo venenatis sapien. Sollicitudin consequat. Urna? Mattis, eget amet sem.",Monthly (at least once a month),22,85,Widowed,3540,"Yes, born in this country",4 days,7 days,4 days,Other,18,Yes,48672,6,Yes,No,
2017-05-24 08:18:48,2017-05-24 08:18:48,Survey Test,,100,0,True,2017-05-24 08:18:48,R_e2St6teQCSKYwyp,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree strongly,Disagree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree strongly,Positive,Slightly positive,Positive,Very negative,Positive,Slightly positive,Very positive,Negative,Slightly negative,Slightly negative,Negative,Negative,Negative,Neither positive nor negative,Neither positive nor negative,Very negative,4,3,3,Extremely characteristic of me (7),6,2,3,5,5,4,4,2,Extremely characteristic of me (7),6,Never or definitely no (1),7,Never or definitely no (1),8,6,5,7,7,7,6,6,6,Never or definitely no (1),7,3,28,Male,None,No,,,,Retired,,Don’t know,,,31,5,"Domestic partnership/Living with partner ",28194,"Yes, born in this country",4 days,Never,1 day,"On a computer or tablet at a public place (e.g., library)",15,Yes,78046,2,No,Yes,8
2017-05-24 08:18:48,2017-05-24 08:18:49,Survey Test,,100,1,True,2017-05-24 08:18:49,R_6DrcqYIzU471lfT,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree strongly,Agree strongly,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Disagree strongly,Agree a little,Disagree a little,Very negative,Negative,Neither positive nor negative,Slightly negative,Positive,Very positive,Slightly positive,Positive,Very positive,Very positive,Neither positive nor negative,Slightly negative,Neither positive nor negative,Negative,Positive,Very positive,4,3,Extremely uncharacteristic of me (1),3,5,Extremely characteristic of me (7),3,3,6,Extremely characteristic of me (7),5,5,Extremely characteristic of me (7),3,7,6,7,6,5,8,7,4,5,6,6,Never or definitely no (1),8,Never or definitely no (1),6,31,Male,Some college,Yes,13,Self-employed,Managerial,,,Other Non-Christian Religion,,Weekly (at least once a week),77,8,Married,67182,"No, not born in this country",Less than once a week,6 days,3 days,Other,7,Yes,54164,17,Yes,No,
2017-05-24 08:18:49,2017-05-24 08:18:49,Survey Test,,100,0,True,2017-05-24 08:18:49,R_cGetAZa0m9BxlHL,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree moderately,Disagree strongly,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Very negative,Negative,Very negative,Neither positive nor negative,Very positive,Very positive,Very positive,Very negative,Slightly positive,Slightly positive,Negative,Very negative,Very negative,Very negative,Negative,Negative,6,2,Extremely characteristic of me (7),Extremely characteristic of me (7),4,5,5,6,5,2,Extremely characteristic of me (7),6,3,Extremely uncharacteristic of me (1),7,2,7,Always or definitely yes (9),6,Always or definitely yes (9),3,5,6,6,2,Always or definitely yes (9),3,Never or definitely no (1),5,28,Female,College degree,Yes,2,Self-employed,Other,,,Sikhism,,Do not regularly attend religious services,53,53,Separated,25199,"Yes, born in this country",Never,Never,6 days,Other,1,Yes,75596,12,Yes,No,
2017-05-24 08:18:49,2017-05-24 08:18:50,Survey Test,,100,1,True,2017-05-24 08:18:50,R_8cbm5T2smh3ebGt,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Disagree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Positive,Positive,Slightly positive,Very positive,Very negative,Very negative,Slightly positive,Very positive,Very positive,Slightly positive,Negative,Very negative,Positive,Neither positive nor negative,Slightly positive,Neither positive nor negative,4,5,4,6,5,3,3,3,6,6,3,4,Extremely characteristic of me (7),3,Never or definitely no (1),8,4,2,8,3,3,3,Never or definitely no (1),5,5,6,Always or definitely yes (9),Never or definitely no (1),5,89,Female,Some college,No,,,,Disabled,,Islam/Muslim (Sunni),,Monthly (at least once a month),93,70,Married,82949,"Yes, born in this country",1 day,4 days,7 days,On a mobile device,23,No,,,No,Yes,8
2017-05-24 08:18:50,2017-05-24 08:18:50,Survey Test,,100,0,True,2017-05-24 08:18:50,R_09f3oWZkt4Ad2VD,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Disagree moderately,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Disagree moderately,Agree a little,Agree moderately,Disagree strongly,Neither positive nor negative,Slightly positive,Negative,Negative,Negative,Slightly negative,Neither positive nor negative,Slightly positive,Very positive,Slightly positive,Very negative,Very positive,Positive,Very positive,Slightly positive,Very negative,3,4,2,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),2,4,2,2,Extremely uncharacteristic of me (1),4,6,5,3,7,7,4,Never or definitely no (1),3,2,8,6,6,Always or definitely yes (9),8,5,Always or definitely yes (9),33,Prefer not to answer,None,Yes,7,Work for an employer,Military,,,Sikhism,,Annually (at least once a year),55,62,Widowed,47551,"No, not born in this country",Never,4 days,Never,"On a computer or tablet at a public place (e.g., library)",9,Yes,32425,4,No,Yes,13
2017-05-24 08:18:51,2017-05-24 08:18:51,Survey Test,,100,0,True,2017-05-24 08:18:51,R_22WLo4QamfLKZPD,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Very positive,Negative,Positive,Neither positive nor negative,Slightly negative,Very negative,Positive,Very positive,Slightly positive,Positive,Negative,Neither positive nor negative,Very negative,Negative,Negative,Very positive,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),4,Extremely uncharacteristic of me (1),2,4,6,3,Extremely characteristic of me (7),3,Extremely uncharacteristic of me (1),5,8,3,Never or definitely no (1),6,2,7,3,4,8,4,2,4,Always or definitely yes (9),8,7,36,Prefer not to answer,Elementary school,No,,,,Disabled,,Buddhism,,Annually (at least once a year),29,5,Single/Never been married,20729,"No, not born in this country",Less than once a week,5 days,4 days,On a computer or tablet at school,18,Yes,38409,0,No,Yes,15
2017-05-24 08:18:51,2017-05-24 08:18:51,Survey Test,,100,0,True,2017-05-24 08:18:51,R_3RknvZCLPcXOvSB,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree moderately,Agree a little,Agree a little,Disagree a little,Disagree moderately,Very positive,Neither positive nor negative,Neither positive nor negative,Negative,Neither positive nor negative,Neither positive nor negative,Positive,Neither positive nor negative,Very positive,Positive,Neither positive nor negative,Very negative,Negative,Very negative,Very negative,Very negative,Extremely uncharacteristic of me (1),2,Extremely uncharacteristic of me (1),3,Extremely characteristic of me (7),6,6,2,6,6,4,Extremely uncharacteristic of me (1),5,Extremely characteristic of me (7),Always or definitely yes (9),2,2,4,5,6,Always or definitely yes (9),5,Always or definitely yes (9),4,5,2,7,7,5,16,Prefer not to answer,None,No,,,,Student,,No Religion/Atheist/Agnostic,,,54,95,Separated,34870,"Yes, born in this country",2 days,4 days,2 days,"On a computer or tablet at a public place (e.g., library)",17,Yes,57402,20,No,Yes,11
2017-05-24 08:18:51,2017-05-24 08:18:52,Survey Test,,100,1,True,2017-05-24 08:18:52,R_7TCETo40n5ny1NP,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Disagree strongly,Disagree a little,Disagree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Agree strongly,Very positive,Very negative,Slightly negative,Neither positive nor negative,Positive,Very negative,Negative,Slightly negative,Slightly negative,Very negative,Neither positive nor negative,Slightly positive,Slightly negative,Negative,Very negative,Very positive,Extremely characteristic of me (7),4,6,6,3,6,6,Extremely characteristic of me (7),3,Extremely characteristic of me (7),2,3,3,Extremely characteristic of me (7),5,5,8,7,4,Never or definitely no (1),6,7,2,2,7,Always or definitely yes (9),7,7,3,68,Male,High school,Yes,15,Self-employed,Secretarial or clerical,,,Jewish,,Monthly (at least once a month),15,37,"Domestic partnership/Living with partner ",72139,"No, not born in this country",Less than once a week,3 days,Never,On a computer or tablet at work,18,Yes,78277,16,Yes,No,
2017-05-24 08:18:52,2017-05-24 08:18:52,Survey Test,,100,0,True,2017-05-24 08:18:52,R_ehRQHbSMfTWFPHD,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Disagree moderately,Agree moderately,Very negative,Positive,Negative,Slightly negative,Negative,Very positive,Very negative,Neither positive nor negative,Slightly positive,Negative,Slightly negative,Slightly negative,Slightly positive,Very positive,Positive,Negative,5,4,Extremely uncharacteristic of me (1),6,Extremely characteristic of me (7),6,6,5,Extremely characteristic of me (7),Extremely characteristic of me (7),5,6,6,2,5,2,Always or definitely yes (9),Never or definitely no (1),Always or definitely yes (9),4,8,3,7,2,Never or definitely no (1),Always or definitely yes (9),5,3,8,46,Female,Elementary school,Yes,7,Self-employed,Other,,,Don’t know,,,53,7,Married,7804,"No, not born in this country",6 days,7 days,5 days,Other,21,Yes,95573,24,No,No,
2017-05-24 08:18:53,2017-05-24 08:18:53,Survey Test,,100,0,True,2017-05-24 08:18:53,R_eXyKd9pFBxYoQK1,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Disagree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree strongly,Agree moderately,Very negative,Very positive,Slightly negative,Very positive,Slightly negative,Slightly negative,Negative,Negative,Very negative,Positive,Very positive,Negative,Neither positive nor negative,Very positive,Negative,Negative,3,4,3,6,4,6,4,4,4,6,2,5,3,5,5,5,3,2,4,Never or definitely no (1),7,6,8,3,5,3,Always or definitely yes (9),5,7,89,Female,None,No,,,,Unemployed,,Muslim/Islam,,Monthly (at least once a month),37,89,Married,38039,"No, not born in this country",3 days,Never,4 days,"On a computer or tablet at a public place (e.g., library)",13,Yes,12941,16,No,No,
2017-05-24 08:18:53,2017-05-24 08:18:54,Survey Test,,100,1,True,2017-05-24 08:18:54,R_6Ptv3vZMQlElZid,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Agree a little,Agree strongly,Slightly positive,Slightly negative,Neither positive nor negative,Very negative,Positive,Very positive,Neither positive nor negative,Positive,Very negative,Very positive,Very negative,Slightly negative,Positive,Slightly positive,Very negative,Positive,2,2,Extremely characteristic of me (7),3,4,6,Extremely characteristic of me (7),5,6,Extremely characteristic of me (7),4,Extremely uncharacteristic of me (1),6,3,7,Never or definitely no (1),Never or definitely no (1),7,2,Never or definitely no (1),3,3,5,3,4,7,8,6,8,8,Prefer not to answer,High school,Yes,7,Work for an employer,Managerial,,,Mormon/Latter-Day Saints,,Do not regularly attend religious services,31,16,Separated,89710,"Yes, born in this country",4 days,5 days,6 days,On a computer or tablet at home,19,No,,,Yes,No,
2017-05-24 08:18:54,2017-05-24 08:18:54,Survey Test,,100,0,True,2017-05-24 08:18:54,R_a3GGaOrY6SSoc05,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree a little,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree strongly,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Slightly positive,Very negative,Very negative,Slightly positive,Neither positive nor negative,Very positive,Very positive,Positive,Negative,Neither positive nor negative,Positive,Slightly negative,Very positive,Very positive,Slightly positive,Neither positive nor negative,2,Extremely characteristic of me (7),4,6,Extremely uncharacteristic of me (1),2,6,6,4,4,6,3,4,4,Always or definitely yes (9),Never or definitely no (1),3,Never or definitely no (1),4,4,5,7,6,2,4,8,6,6,7,105,Female,High school,Yes,16,Self-employed,Managerial,,,Sikhism,,Annually (at least once a year),45,68,Separated,94557,"Yes, born in this country",Less than once a week,7 days,6 days,"On a computer or tablet at a public place (e.g., library)",20,No,,,Yes,Yes,7
2017-05-24 08:18:54,2017-05-24 08:18:55,Survey Test,,100,1,True,2017-05-24 08:18:55,R_08u22nbUSVy4ZSJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree moderately,Disagree strongly,Disagree moderately,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree a little,Disagree strongly,Very negative,Neither positive nor negative,Slightly positive,Very negative,Slightly negative,Slightly positive,Very positive,Slightly negative,Very positive,Very positive,Neither positive nor negative,Very negative,Slightly negative,Positive,Slightly negative,Slightly negative,Extremely uncharacteristic of me (1),4,4,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),5,4,3,2,3,4,Always or definitely yes (9),8,4,2,2,3,2,7,7,2,8,5,4,6,5,22,Other,Post-graduate degree,No,,,,Unemployed,,Don’t know,,,92,14,Married,77632,"Yes, born in this country",Never,7 days,3 days,On a mobile device,11,Yes,32133,15,No,No,
2017-05-24 08:18:55,2017-05-24 08:18:55,Survey Test,,100,0,True,2017-05-24 08:18:55,R_9vK8C8DFJ604RVj,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Neither agree nor disagree,Disagree strongly,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree strongly,Disagree a little,Positive,Very negative,Very positive,Neither positive nor negative,Very negative,Positive,Slightly positive,Slightly positive,Slightly positive,Very positive,Slightly positive,Slightly positive,Very positive,Slightly positive,Slightly positive,Negative,2,3,2,3,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely uncharacteristic of me (1),5,5,Extremely uncharacteristic of me (1),4,Extremely characteristic of me (7),5,Extremely characteristic of me (7),Never or definitely no (1),2,5,3,4,4,4,7,7,Never or definitely no (1),Always or definitely yes (9),3,2,Always or definitely yes (9),7,1,Male,Elementary school,Yes,9,Work for an employer,Military,,,Islam/Muslim (Sunni),,Do not regularly attend religious services,64,65,Married,75981,"No, not born in this country",5 days,4 days,2 days,On a mobile device,6,Yes,83361,8,No,No,
